20:00:49: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 47] Logger initialized
20:00:49: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 4.0)
20:00:49: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 1.0)
20:00:50: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.6666666666666666)
20:00:50: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.5)
20:00:51: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.4)
20:00:51: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.3333333333333333)
20:00:52: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.2857142857142857)
20:00:52: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 2.5, 0.25)
20:00:53: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
20:00:53: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 6.0, 0.2)
20:00:54: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
20:00:54: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
20:00:55: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
20:00:55: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
20:00:56: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
20:00:56: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (3.75, 0.0, 0.125)
20:00:57: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
20:00:57: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
20:00:58: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.10526315789473684)
20:00:58: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 1.0, 0.1)
20:00:59: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
20:00:59: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
20:01:00: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
20:01:00: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
20:01:01: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (2.4, 2.4, 0.08)
20:01:01: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
20:01:02: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
20:01:02: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
20:01:03: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
20:01:03: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
20:01:04: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 83] Average velocity: (0.0, 0.0, 0.06451612903225806)
