14:53:27: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
14:53:27: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 130] Connected!
14:53:27: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] ALT_CHANGE: 1
14:53:28: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] ALT_CHANGE: -1
14:53:28: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] None
14:53:29: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] None
14:53:29: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] None
14:53:30: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] None
14:53:30: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] None
14:53:31: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 63.43494882292201
14:53:31: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 90.0
14:53:32: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 116.56505117707799
14:53:32: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 45.0
14:53:33: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 63.43494882292201
14:53:33: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 90.0
14:53:34: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 26.565051177077994
14:53:34: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 45.0
14:53:35: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 90.0
14:53:35: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 45.0
14:53:36: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 90.0
14:53:36: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: 135.0
14:53:37: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -26.565051177077994
14:53:37: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -45.0
14:53:38: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -90.0
14:53:38: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -45.0
14:53:39: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -90.0
14:53:39: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -135.0
14:53:40: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -63.43494882292201
14:53:41: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -90.0
14:53:41: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -116.56505117707799
14:53:42: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -45.00000000000005
14:53:42: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -63.43494882292201
14:53:43: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] YAW_CHANGE: -90.0
