17:29:29: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
17:29:29: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | main | 110] Connected!
17:29:30: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:31: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:32: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:33: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:34: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:35: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:36: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:37: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:38: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:39: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:40: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:41: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
17:29:43: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_telemetry.py | read_queue | 67] Received data: None
