17:29:29: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 46] Logger initialized
17:29:30: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:31: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:32: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:33: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:34: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:35: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:36: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:37: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:38: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:39: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:40: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:41: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:43: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 62] Telemetry data queued: None
17:29:43: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 67] Worker has stopped
